combo_id,description,winner,margin_threshold,total,multiplier,price_source,fill_price,recommended_stake,contracts,payout_if_win
C1,Spurs win + under 4.5 pts + over 217.5,Spurs,under 4.5,over,16.34x,CALC_FROM_LEGS,0.0612,4.60,75.16,75.16
C2,Spurs win + under 4.5 pts + under 217.5,Spurs,under 4.5,under,17.01x,CALC_FROM_LEGS,0.0588,4.60,78.23,78.23
C3,Spurs win + under 10.5 pts + over 217.5,Spurs,under 10.5,over,6.13x,CALC_FROM_LEGS,0.1632,4.60,28.18,28.18
C4,Spurs win + under 10.5 pts + under 217.5,Spurs,under 10.5,under,6.38x,CALC_FROM_LEGS,0.1568,4.60,29.33,29.33
C5,Spurs win + under 16.5 pts + over 217.5,Spurs,under 16.5,over,4.26x,CALC_FROM_LEGS,0.2346,18.77,80.00,80.00
C6,Spurs win + under 16.5 pts + under 217.5,Spurs,under 16.5,under,4.44x,CALC_FROM_LEGS,0.2254,18.03,80.00,80.00
C7,Knicks win + under 4.5 pts + over 217.5,Knicks,under 4.5,over,21.79x,CALC_FROM_LEGS,0.0459,4.60,100.21,100.21
C8,Knicks win + under 4.5 pts + under 217.5,Knicks,under 4.5,under,22.68x,CALC_FROM_LEGS,0.0441,4.60,104.30,104.30
C9,Knicks win + under 10.5 pts + over 217.5,Knicks,under 10.5,over,8.91x,CALC_FROM_LEGS,0.1122,4.60,40.99,40.99
C10,Knicks win + under 10.5 pts + under 217.5,Knicks,under 10.5,under,9.28x,CALC_FROM_LEGS,0.1078,4.60,42.67,42.67
C11,Knicks win + under 20.5 pts + over 217.5,Knicks,under 20.5,over,5.94x,CALC_FROM_LEGS,0.1683,13.46,80.00,80.00
C12,Knicks win + under 20.5 pts + under 217.5,Knicks,under 20.5,under,6.18x,CALC_FROM_LEGS,0.1617,12.94,80.00,80.00
